"id","slug","patch_date","effective_date","display_date","title","sequence","year","month","kind","era","expansion","expansion_code","categories","sections","change_count","word_count","summary","content","content_hash","source_files","source_titles","source_url","source_urls","occurrence_count","source_occurrences","year_inferred"
"1998-08-03-1","1998-08-03-1","1998-08-03","1998-08-03","8/3/98 5:34pm","8/3/98 5:34pm","1","1998","8","beta","EverQuest Beta","EverQuest Beta","everquest-beta","Beta","","0","52","There is a bug we've discovered in the latest reference drivers for Voodoo 1 based cards in D3D mode. If you are having severe video problems in-game, we reccomend you revert to either an earlier reference driver or use the card's manufacturer's driver (for example, the Diamond Monster drivers…","There is a bug we've discovered in the latest reference drivers for Voodoo 1 based cards in D3D mode.  If you are having severe video problems in-game, we reccomend you revert to either an earlier reference driver or use the card's manufacturer's driver (for example, the Diamond Monster drivers v.1.10 work fine).","5a201e3a545c4d76c68483ce74c7b72d1fba31efb16b4e78fd9f5dee7d65b6fd","patches-phase3beta-revisions.txt","8/3/98 5:34pm","","","1","[{""occurrence_id"":""ab797ee985fe10ca02532c5a440582ee987effd82682a775fc904769ddd11c04"",""filename"":""patches-phase3beta-revisions.txt"",""adapter"":""text"",""source_offset"":5793,""item_index"":null,""heading"":""8/3/98 5:34pm"",""source_url"":null,""source_url_raw"":null,""published"":null,""source_kind"":""text"",""excerpt"":false,""year_inferred"":false}]","false"
"1998-08-03-2","1998-08-03-2","1998-08-03","1998-08-03","8/3/98 9:00pm","8/3/98 9:00pm","2","1998","8","beta","EverQuest Beta","EverQuest Beta","everquest-beta","Beta|Bug Fixes|Zones & NPCs|Quests & Events","","0","77","East Freeport is finally up -- the entire city of Freeport is online now. Also, several of the crash bugs we've had should be fixed now -- let us know if you encounter any more and please attempt to make note of the circumstances and events immediately prior to the crash. Lastly, an assist command…","East Freeport is finally up -- the entire city of Freeport is online now.  Also, several of the crash bugs we've had should be fixed now -- let us know if you encounter any more and please attempt to make note of the circumstances and events immediately prior to the crash.  Lastly, an assist command has been added -- target a player, type /assist, and you should then target whoever he is currently fighting at that moment.","59d90c407987a6f85810dcd12b80c446267bd55be44d0defd7f667f6ddb1611f","patches-phase3beta-revisions.txt","8/3/98 9:00pm","","","1","[{""occurrence_id"":""1bff835dc5bb98f5fa6cf908d379bf47d6f2a6f3a22cefda02a200aebff18e43"",""filename"":""patches-phase3beta-revisions.txt"",""adapter"":""text"",""source_offset"":6137,""item_index"":null,""heading"":""8/3/98 9:00pm"",""source_url"":null,""source_url_raw"":null,""published"":null,""source_kind"":""text"",""excerpt"":false,""year_inferred"":false}]","false"
"1998-08-04-1","1998-08-04-1","1998-08-04","1998-08-04","8/4/98 4:44pm","8/4/98 4:44pm","1","1998","8","beta","EverQuest Beta","EverQuest Beta","everquest-beta","Beta","","0","11","Note the changes to the previous entry regarding the assist command.","Note the changes to the previous entry regarding the assist command.","4c304084ccef2d10890e698905a36b7177e422768304baa39342fc7fd789898d","patches-phase3beta-revisions.txt","8/4/98 4:44pm","","","1","[{""occurrence_id"":""bc1f50c3876ae5b75faf7eb934534511037462e0494d3124ed9cee4ede8e393d"",""filename"":""patches-phase3beta-revisions.txt"",""adapter"":""text"",""source_offset"":6592,""item_index"":null,""heading"":""8/4/98 4:44pm"",""source_url"":null,""source_url_raw"":null,""published"":null,""source_kind"":""text"",""excerpt"":false,""year_inferred"":false}]","false"
"1998-08-04-2","1998-08-04-2","1998-08-04","1998-08-04","8/4/98 5:55pm","8/4/98 5:55pm","2","1998","8","beta","EverQuest Beta","EverQuest Beta","everquest-beta","Beta","","0","44","Hopefully the Voodoo 1 D3D bug has a workaround -- please let us know if you experience any additional problems. Also, you can start a character (human, half-elf, wood elf, high elf) in Freeport now (in addition to Qeynos) -- give it a try.","Hopefully the Voodoo 1 D3D bug has a workaround -- please let us know if you experience any additional problems.  Also, you can start a character (human, half-elf, wood elf, high elf) in Freeport now (in addition to Qeynos) -- give it a try.","b2e5a8fa8b2079406176e316a4b1549a32a786c75dd16426ee146c2e9de159b5","patches-phase3beta-revisions.txt","8/4/98 5:55pm","","","1","[{""occurrence_id"":""9b0ab1768c574a46f49caf07b5b075626a3a1b1fdf320ad80f9eab95e2e22d30"",""filename"":""patches-phase3beta-revisions.txt"",""adapter"":""text"",""source_offset"":6689,""item_index"":null,""heading"":""8/4/98 5:55pm"",""source_url"":null,""source_url_raw"":null,""published"":null,""source_kind"":""text"",""excerpt"":false,""year_inferred"":false}]","false"
"1998-08-05-1","1998-08-05-1","1998-08-05","1998-08-05","8/5/98 7:34pm","8/5/98 7:34pm","1","1998","8","beta","EverQuest Beta","EverQuest Beta","everquest-beta","Beta|Zones & NPCs","","0","20","Additional information is now provided when you consider (double-click on) an NPC that will undoubtedly prove useful in the game.","Additional information is now provided when you consider (double-click on) an NPC that will
undoubtedly prove useful in the game.","5b88eef7ad564b929255b5d5a45e3a1b34cc4cbb8793fbcd84986b233dccd7b5","patches-phase3beta-eqnews.txt","8/5/98 7:34pm","","","1","[{""occurrence_id"":""9c4849a06da66b6d118263277e9f2c8958624dd81b3af19f7ff711ed5d71fa2c"",""filename"":""patches-phase3beta-eqnews.txt"",""adapter"":""text"",""source_offset"":0,""item_index"":null,""heading"":""8/5/98 7:34pm"",""source_url"":null,""source_url_raw"":null,""published"":null,""source_kind"":""text"",""excerpt"":false,""year_inferred"":false}]","false"
"1998-08-06-1","1998-08-06-1","1998-08-06","1998-08-06","8/6/98 8:17pm","8/6/98 8:17pm","1","1998","8","beta","EverQuest Beta","EverQuest Beta","everquest-beta","Beta|Zones & NPCs","","0","48","We've implemented a new anti-vulch, anti-twink experience system -- he who does the most damage to an NPC gets the exp upon its death (or the group he's in). Let us know how it works. Also, expect some larger downloads short term -- the world of Norrath expandeth.","We've implemented a new anti-vulch, anti-twink experience system -- he who does the most
damage to an NPC gets the exp upon its death (or the group he's in).  Let us know how it
works.  Also, expect some larger downloads short term -- the world of Norrath expandeth.","8bfedeaf625255965f6065d554c952f186006423aaaf534455e880ff177733dd","patches-phase3beta-eqnews.txt","8/6/98 8:17pm","","","1","[{""occurrence_id"":""ed8d2fa2775a86e85d7be23d6eec6323a5f65c77080bb097b04c0fb78fe9b5f6"",""filename"":""patches-phase3beta-eqnews.txt"",""adapter"":""text"",""source_offset"":159,""item_index"":null,""heading"":""8/6/98 8:17pm"",""source_url"":null,""source_url_raw"":null,""published"":null,""source_kind"":""text"",""excerpt"":false,""year_inferred"":false}]","false"
"1998-08-11-1","1998-08-11-1","1998-08-11","1998-08-11","8/11/98 5:15pm","8/11/98 5:15pm","1","1998","8","beta","EverQuest Beta","EverQuest Beta","everquest-beta","Beta|Zones & NPCs","","0","48","South Ro and Oasis are online now -- please do not try to go further south than South Ro, in that that zone isn't up yet. The world will continue to expand in that general direction (south of Freeport), and soon Trolls and Ogres will have their hometowns.","South Ro and Oasis are online now -- please do not try to go further south than South Ro,
in that that zone isn't up yet.  The world will continue to expand in that general direction
(south of Freeport), and soon Trolls and Ogres will have their hometowns.","20ff1111bfcf4b999413825041e667e339e22a34d1985cda85f6b25176544b5b","patches-phase3beta-eqnews.txt","8/11/98 5:15pm","","","1","[{""occurrence_id"":""f72c8bb120a268e59284571a6a09409341238a735d0355a8d5dd38a82a218e67"",""filename"":""patches-phase3beta-eqnews.txt"",""adapter"":""text"",""source_offset"":455,""item_index"":null,""heading"":""8/11/98 5:15pm"",""source_url"":null,""source_url_raw"":null,""published"":null,""source_kind"":""text"",""excerpt"":false,""year_inferred"":false}]","false"
"1998-08-22-1","1998-08-22-1","1998-08-22","1998-08-22","8/22/98 8:00pm","8/22/98 8:00pm","1","1998","8","beta","EverQuest Beta","EverQuest Beta","everquest-beta","Beta|Classes|Zones & NPCs","","0","95","Grobb, Oggok, Rathe Mountains, and Lake Rathetear are online now. We will be starting Trolls and Ogres in their respective hometowns shortly, as well as relocating existing Trolls and Ogres there (ie. Neriak will no longer be your hometown). Also, we've added a new warrior skill called Taunt --…","Grobb, Oggok, Rathe Mountains, and Lake Rathetear are online now.  We will be starting
Trolls and Ogres in their respective hometowns shortly, as well as relocating existing
Trolls and Ogres there (ie. Neriak will no longer be your hometown).  Also, we've
added a new warrior skill called Taunt -- this skill, when successful, will re-focus
target NPC to attack you (ie. he will switch from his current target to you).  This is
useful, for example, when an NPC targets a spellcaster or healer in your party, and
you'd like him instead to beat on you.","465f84578982887c246c8bae842cf559752f927fe2acc93b48f5f65aa15f682e","patches-phase3beta-eqnews.txt","8/22/98 8:00pm","","","1","[{""occurrence_id"":""c3dd4752cc14c18723911750d9a099638655c02823de20a1507ba19230c1198b"",""filename"":""patches-phase3beta-eqnews.txt"",""adapter"":""text"",""source_offset"":743,""item_index"":null,""heading"":""8/22/98 8:00pm"",""source_url"":null,""source_url_raw"":null,""published"":null,""source_kind"":""text"",""excerpt"":false,""year_inferred"":false}]","false"
"1998-08-31-1","1998-08-31-1","1998-08-31","1998-08-31","8/31/98 12:41pm","8/31/98 12:41pm","1","1998","8","beta","EverQuest Beta","EverQuest Beta","everquest-beta","Beta","","0","45","We've added a new command, /feedback. Please use /feedback to leave us feedback and comments and only use /bug for bugs. They are written to two separate files now, which will make it easier for us to get the information to the appropriate people. Thanks.","We've added a new command, /feedback.  Please use /feedback to leave us feedback and comments
and only use /bug for bugs.  They are written to two separate files now, which will make it
easier for us to get the information to the appropriate people.  Thanks.","4eb40d7dec9ebbffe386d2762dbb55266c09249823fd75b7c43fad7a8a2c474f","patches-phase3beta-eqnews.txt","8/31/98 12:41pm","","","1","[{""occurrence_id"":""a3f52ae68b0d717e2d88542555c06aa245b2a9b74c2fe753579eb69b5091b99e"",""filename"":""patches-phase3beta-eqnews.txt"",""adapter"":""text"",""source_offset"":1325,""item_index"":null,""heading"":""8/31/98 12:41pm"",""source_url"":null,""source_url_raw"":null,""published"":null,""source_kind"":""text"",""excerpt"":false,""year_inferred"":false}]","false"
"1998-09-01-1","1998-09-01-1","1998-09-01","1998-09-01","9/1/98 5:03pm (IMPORTANT - PLEASE READ)","9/1/98 5:03pm (IMPORTANT - PLEASE READ)","1","1998","9","beta","EverQuest Beta","EverQuest Beta","everquest-beta","Beta|Bug Fixes|Items|Zones & NPCs|Servers","SOME NEW POLICIES","0","268","We are starting to build up the Game Master (GM) infrastructure for EverQuest. If you require assistance in-game, use the /petition <msg> command -- all GMs online will receive your message and you will be helped as soon as possible -- using the /tell command to solicit help from a GM is no longer…","We are starting to build up the Game Master (GM) infrastructure for EverQuest.  If you require assistance in-game, use the /petition <msg> command -- all GMs online will receive your message
and you will be helped as soon as possible -- using the /tell command to solicit help from a GM is no longer legal.  Note that there are serveral kinds of GMs you might encounter in-game, but
there are only two kinds responsible for helping testers -- GUIDES, and GM-Admin GMs.  Other GMs (coders, areas, etc.) are development team members and are not there to help you (sorry -- but
they need to finish the game).  GUIDES are external (non-Sony) GMs who are there to help you and answer questions, but their power is limited (meaning they will often refer you to a GM-Admin).
Our plan is to have GM-Admins in-game most of the time, all week, but it may take some time for this coverage to become complete.

SOME NEW POLICIES:
-- NO reimbursals of lost items, money, or experience will be made (sorry, but this is a BETA).
-- Using the /tell command to solicit help from a GM is no longer legal -- use the /petition command.
-- Using 'safe' areas (ie. areas where NPCs can't or won't go, even though it makes sense they could) is illegal.  Fighting NPCs, or using those areas to rest and heal, is not allowed.  An example would
be areas near zone transition sections.  These problem areas are being fixed as quickly as possible, but in the meantime, testers caught abusing these areas won't be testers for long.","ecc6fae116597cfb13c32352288f8134d12b29d0d42de6ccb68e3eb0335dfcb8","patches-phase3beta-eqnews.txt","9/1/98 5:03pm (IMPORTANT - PLEASE READ)","","","1","[{""occurrence_id"":""9d8c59573497b8c41452eeef2ee72ccd8d217a40e0154b8601048d71b7d3ef7a"",""filename"":""patches-phase3beta-eqnews.txt"",""adapter"":""text"",""source_offset"":1617,""item_index"":null,""heading"":""9/1/98 5:03pm (IMPORTANT - PLEASE READ)"",""source_url"":null,""source_url_raw"":null,""published"":null,""source_kind"":""text"",""excerpt"":false,""year_inferred"":false}]","false"
